domain	enst_id	chrom	strand	chromStart	chromEnd	cdsStart	cdsEnd	domain_count	domain_start	domain_end	part_type	source
FCGR2A__Immunoglobulin-like fold	ENST00000271450	chr1	+	161505430	161524013	161505468	161518148	3	161506336,161509822,161510834	161506590,161510074,161510835	homologous_superfamily	cathgene3d
FCGR2A__Immunoglobulin-like domain superfamily	ENST00000271450	chr1	+	161505430	161524013	161505468	161518148	3	161506339,161506585,161509820	161506584,161506591,161510070	homologous_superfamily	ssf
FCGR2A__Immunoglobulin-like domain	ENST00000271450	chr1	+	161505430	161524013	161505468	161518148	3	161506342,161506591,161509820	161506584,161506591,161510070	domain	pfam,profile
FCGR2A__Immunoglobulin subtype	ENST00000271450	chr1	+	161505430	161524013	161505468	161518148	2	161506366,161509837	161506587,161510073	domain	smart
FCGR2A__Immunoglobulin subtype 2	ENST00000271450	chr1	+	161505430	161524013	161505468	161518148	2	161506384,161509855	161506560,161510037	domain	smart
KRTCAP2__Keratinocyte-associated protein 2	ENST00000295682	chr1	-	155169408	155173475	155173224	155169440	5	155173221,155172738,155172565,155169791,155169446	155173224,155172892,155172628,155169857,155169560	family	panther,pfam
PMVK__Higher eukaryotic phosphomevalonate kinase	ENST00000368467	chr1	-	154924740	154936719	154936685	154925129	5	154936591,154932352,154929024,154926354,154925132	154936685,154932415,154929176,154926483,154925265	family	pfam,pirsf,tigrfams,panther
PMVK__P-loop containing nucleoside triphosphate hydrolase	ENST00000368467	chr1	-	154924740	154936719	154936685	154925129	5	154936591,154932352,154929024,154926354,154925132	154936685,154932415,154929176,154926483,154925265	homologous_superfamily	cathgene3d,ssf
SEMA4A__Semaphorin	ENST00000368285	chr1	+	156147366	156177752	156154579	156176997	14	156154681,156156414,156158070,156158388,156158719,156160443,156160905,156161346,156162944,156172826,156174822,156175086,156175556,156176405	156154717,156156574,156158132,156158486,156158824,156160559,156161029,156161518,156163094,156173006,156174940,156175243,156175656,156176973	family	panther
SEMA4A__Sema domain	ENST00000368285	chr1	+	156147366	156177752	156154579	156176997	12	156154684,156156414,156158070,156158388,156158719,156160443,156160905,156161346,156162944,156172826,156174822,156175086	156154717,156156574,156158132,156158486,156158824,156160559,156161029,156161518,156163094,156173006,156174940,156175133	domain	profile,pfam,smart
SEMA4A__WD40/YVTN repeat-like-containing domain superfamily	ENST00000368285	chr1	+	156147366	156177752	156154579	156176997	12	156154699,156156414,156158070,156158388,156158719,156160443,156160905,156161346,156162944,156172826,156174822,156175086	156154717,156156574,156158132,156158486,156158824,156160559,156161029,156161518,156163094,156173006,156174940,156175145	homologous_superfamily	cathgene3d
SEMA4A__Sema domain superfamily	ENST00000368285	chr1	+	156147366	156177752	156154579	156176997	11	156156425,156158070,156158388,156158719,156160443,156160905,156161346,156162944,156172826,156174822,156175086	156156574,156158132,156158486,156158824,156160559,156161029,156161518,156163094,156173006,156174940,156175151	homologous_superfamily	ssf
SEMA4A__Plexin repeat	ENST00000368285	chr1	+	156147366	156177752	156154579	156176997	2	156175137,156175556	156175243,156175574	repeat	pfam
SEMA4A__PSI domain	ENST00000368285	chr1	+	156147366	156177752	156154579	156176997	2	156175137,156175556	156175243,156175607	domain	smart
SIPA1L2__Signal-induced proliferation-associated 1-like protein 2	ENST00000674635	chr1	-	232397965	232630571	232515339	232399127	21	232513857,232493527,232490874,232483792,232479627,232471371,232464840,232460887,232445529,232443602,232441768,232441291,232439108,232432247,232428411,232425589,232415494,232404125,232403448,232402392,232399130	232515339,232493660,232491062,232483966,232479730,232471528,232465416,232461161,232445786,232443685,232441868,232441394,232439496,232432471,232428564,232425808,232415625,232404178,232403571,232402473,232399273	family	panther
SIPA1L2__Rap/Ran-GAP superfamily	ENST00000674635	chr1	-	232397965	232630571	232515339	232399127	7	232513857,232493527,232490874,232483792,232479627,232471371,232465200	232513917,232493660,232491062,232483966,232479730,232471528,232465416	homologous_superfamily	cathgene3d,ssf
SIPA1L2__Rap/Ran-GAP domain	ENST00000674635	chr1	-	232397965	232630571	232515339	232399127	5	232490874,232483792,232479627,232471371,232465224	232490897,232483966,232479730,232471528,232465416	domain	profile,pfam
SIPA1L2__PDZ superfamily	ENST00000674635	chr1	-	232397965	232630571	232515339	232399127	1	232460910	232461140	homologous_superfamily	ssf,cathgene3d
SIPA1L2__PDZ domain	ENST00000674635	chr1	-	232397965	232630571	232515339	232399127	1	232460904	232461134	domain	profile,pfam,smart
SIPA1L2__Signal-induced proliferation-associated 1-like protein, C-terminal	ENST00000674635	chr1	-	232397965	232630571	232515339	232399127	6	232428411,232425589,232415494,232404125,232403448,232402416	232428554,232425808,232415625,232404178,232403571,232402473	domain	pfam
ITPKB__Inositol polyphosphate kinase	ENST00000429204	chr1	-	226631690	226739323	226737458	226634671	8	226735725,226735527,226648672,226647167,226641921,226639557,226637679,226634677	226737458,226735730,226648771,226647380,226642125,226639658,226637750,226634886	family	panther,pfam
ITPKB__Inositol polyphosphate kinase superfamily	ENST00000429204	chr1	-	226631690	226739323	226737458	226634671	6	226648672,226647167,226641921,226639557,226637679,226634686	226648672,226647380,226642125,226639658,226637750,226634886	homologous_superfamily	cathgene3d
VAMP4__Vesicle-associated membrane protein 4	ENST00000236192	chr1	-	171700160	171742074	171738414	171704506	7	171738349,171728524,171719171,171710714,171709665,171706367,171704512	171738414,171728570,171719221,171710814,171709744,171706418,171704534	family	panther
VAMP4__v-SNARE, coiled-coil homology domain	ENST00000236192	chr1	-	171700160	171742074	171738414	171704506	5	171719171,171710714,171709665,171706367,171704524	171719190,171710814,171709744,171706418,171704534	domain	profile,pfam
VAMP4__Synaptobrevin	ENST00000236192	chr1	-	171700160	171742074	171738414	171704506	4	171710714,171709722,171709665,171706368	171710810,171709744,171709673,171706418	family	prosite,prints
RAB29__Small GTPase	ENST00000367139	chr1	-	205767986	205775482	205774956	205770342	5	205774833,205772496,205771472,205770733,205770345	205774956,205772567,205771653,205770854,205770453	family	profile,pfam,smart
RAB29__P-loop containing nucleoside triphosphate hydrolase	ENST00000367139	chr1	-	205767986	205775482	205774956	205770342	5	205774833,205772496,205771472,205770733,205770417	205774956,205772567,205771653,205770854,205770453	homologous_superfamily	cathgene3d,ssf
RAB29__Small GTP-binding protein domain	ENST00000367139	chr1	-	205767986	205775482	205774956	205770342	5	205774833,205772496,205771472,205770733,205770453	205774935,205772567,205771653,205770854,205770453	domain	tigrfams
RAB29__Ras-related protein Rab29/Rab38/Rab32	ENST00000367139	chr1	-	205767986	205775482	205774956	205770342	5	205774833,205772496,205771472,205770733,205770345	205774935,205772567,205771653,205770854,205770453	family	cdd
NUCKS1__Nuclear ubiquitous casein and cyclin-dependent kinase substrate 1	ENST00000367142	chr1	-	205712822	205750182	205749973	205718280	8	205749957,205729572,205727700,205723930,205723926,205720501,205719527,205718283	205749973,205729621,205727805,205723981,205723932,205720653,205719676,205718479	family	panther
KCNS3__Voltage-gated potassium channel	ENST00000304101	chr2	+	17877847	18361616	17931009	17932484	1	17931027	17932481	family	panther
KCNS3__SKP1/BTB/POZ domain superfamily	ENST00000304101	chr2	+	17877847	18361616	17931009	17932484	1	17931030	17931416	homologous_superfamily	cathgene3d,ssf
KCNS3__BTB/POZ domain	ENST00000304101	chr2	+	17877847	18361616	17931009	17932484	1	17931051	17931380	domain	profile,pfam,smart
KCNS3__Potassium channel tetramerisation-type BTB domain	ENST00000304101	chr2	+	17877847	18361616	17931009	17932484	1	17931057	17931356	domain	pfam
